Task,Shelf,Workstation,Duration,WSOrder
153,1,1,9.0,85
154,1,2,7.0,69
155,5,2,7.0,70
156,1,1,6.0,86
157,6,2,8.0,71
158,6,1,5.0,87
159,3,1,9.0,88
160,5,1,8.0,89
161,5,2,9.0,72
162,1,1,9.0,90
163,5,2,10.0,73
164,6,1,7.0,91
165,5,2,8.0,74
166,2,2,5.0,75
167,1,1,5.0,92
168,4,2,9.0,76
169,1,1,6.0,93
170,1,1,5.0,94
171,3,1,7.0,95
172,2,1,5.0,96
173,6,1,10.0,97
174,3,1,6.0,98
175,2,1,6.0,99
176,4,2,7.0,77
177,5,1,8.0,100
178,3,1,7.0,101
179,1,2,6.0,78
180,2,2,6.0,79
181,5,1,7.0,102
182,5,1,5.0,103
183,3,1,7.0,104
184,6,1,10.0,105
185,3,1,7.0,106
186,1,2,5.0,80
187,6,1,8.0,107
188,4,1,9.0,108
189,5,1,7.0,109
190,1,1,5.0,110
191,3,2,5.0,81
192,3,1,7.0,111
193,4,2,9.0,82
194,6,1,5.0,112
195,4,1,9.0,113
196,1,1,7.0,114
197,4,1,10.0,115
198,4,1,10.0,116
199,3,1,8.0,117
200,1,1,9.0,118
201,6,1,6.0,119
202,6,1,5.0,120
203,6,1,5.0,121
204,3,1,7.0,122
205,6,2,9.0,83
206,3,2,8.0,84
207,5,2,5.0,85
208,1,1,5.0,123
209,6,2,9.0,86
210,2,2,7.0,87
211,3,1,7.0,124
212,2,2,10.0,88
213,2,2,5.0,89
214,2,2,7.0,90
215,2,2,8.0,91
216,6,1,8.0,125
217,1,2,6.0,92
218,2,1,9.0,126
219,2,2,9.0,93
220,5,2,7.0,94
221,5,2,5.0,95
222,5,2,6.0,96
223,4,2,7.0,97
224,2,2,10.0,98
225,2,1,7.0,127
226,4,2,7.0,99
227,5,1,8.0,128
228,1,2,10.0,100
229,6,1,7.0,129
230,4,2,6.0,101
231,3,2,9.0,102
232,2,1,9.0,130
233,1,1,5.0,131
234,6,2,5.0,103
235,4,1,6.0,132
236,2,2,8.0,104
237,1,2,7.0,105
238,5,1,7.0,133
239,5,1,6.0,134
240,4,1,8.0,135
241,4,1,9.0,136
242,3,1,7.0,137
243,1,2,5.0,106
244,3,1,5.0,138
245,2,2,7.0,107
246,2,2,6.0,108
247,4,1,9.0,139
248,4,2,8.0,109
249,3,1,8.0,140
250,3,2,6.0,110
251,5,1,6.0,141
252,2,1,10.0,142
253,6,2,6.0,111
254,4,2,6.0,112
255,4,2,5.0,113
256,1,1,9.0,143
257,5,1,10.0,144
258,3,1,5.0,145
259,6,1,8.0,146
260,5,2,6.0,114
261,3,1,6.0,147
262,2,1,5.0,148
263,4,2,10.0,115
264,6,2,8.0,116
265,2,1,6.0,149
266,5,2,9.0,117
267,4,1,9.0,150
268,4,1,8.0,151
269,1,1,8.0,152
270,6,1,8.0,153
271,5,2,6.0,118
272,2,1,5.0,154
273,1,2,9.0,119
274,3,1,7.0,155
275,3,2,5.0,120
276,1,2,6.0,121
277,1,2,5.0,122
278,3,2,9.0,123
279,5,1,5.0,156
280,3,1,9.0,157
281,5,2,8.0,124
282,4,2,5.0,125
283,1,2,5.0,126
284,2,2,9.0,127
285,4,2,10.0,128
286,1,2,9.0,129
287,4,1,8.0,158
288,2,1,6.0,159
289,6,1,7.0,160
290,1,1,10.0,161
291,4,2,8.0,130
292,3,2,10.0,131
293,6,2,5.0,132
294,1,2,6.0,133
295,6,1,5.0,162
296,2,2,8.0,134
297,6,2,6.0,135
298,1,1,5.0,163
299,1,1,6.0,164
300,5,2,10.0,136
301,1,1,10.0,165
302,2,2,6.0,137
303,2,1,9.0,166
304,2,2,10.0,138
305,5,1,7.0,167
306,3,1,8.0,168
307,3,1,9.0,169
308,6,2,9.0,139
309,3,1,10.0,170
310,4,1,7.0,171
311,6,1,9.0,172
312,5,1,7.0,173
313,1,2,9.0,140
314,3,1,9.0,174
315,4,1,10.0,175
316,1,1,9.0,176
317,2,2,7.0,141
318,2,2,7.0,142
319,6,2,10.0,143
320,3,2,8.0,144
321,2,1,5.0,177
322,5,1,5.0,178
323,6,2,8.0,145
324,1,1,5.0,179
325,5,1,6.0,180
326,5,1,10.0,181
327,3,1,8.0,182
328,2,2,6.0,146
329,1,2,7.0,147
330,6,1,6.0,183
331,3,1,9.0,184
332,4,1,9.0,185
333,1,2,8.0,148
334,4,1,8.0,186
335,3,1,10.0,187
336,2,2,8.0,149
337,6,2,9.0,150
338,4,2,9.0,151
339,1,1,10.0,188
340,2,1,9.0,189
341,5,1,8.0,190
342,6,2,9.0,152
343,1,1,7.0,191
344,5,2,5.0,153
345,5,2,7.0,154
346,3,1,6.0,192
347,1,2,6.0,155
348,1,1,10.0,193
349,6,2,6.0,156
350,6,1,10.0,194
351,6,2,9.0,157
352,4,2,5.0,158
353,6,1,7.0,195
354,4,1,6.0,196
355,4,1,7.0,197
356,4,1,10.0,198
357,3,2,6.0,159
358,3,2,6.0,160
359,2,1,8.0,199
360,5,2,7.0,161
361,5,2,8.0,162
362,3,1,7.0,200
363,5,2,8.0,163
364,2,1,10.0,201
365,2,2,10.0,164
366,5,2,5.0,165
367,6,2,10.0,166
368,6,1,7.0,202
369,5,1,8.0,203
370,6,1,6.0,204
371,2,2,7.0,167
372,4,1,8.0,205
373,1,1,5.0,206
374,5,2,7.0,168
375,6,1,5.0,207
376,4,2,7.0,169
377,6,2,7.0,170
378,5,1,5.0,208
379,6,1,9.0,209
380,5,2,9.0,171
381,5,2,10.0,172
382,6,1,7.0,210
383,1,1,6.0,211
384,3,1,7.0,212
385,4,2,9.0,173
386,5,2,10.0,174
387,2,1,6.0,213
388,4,1,7.0,214
389,4,1,6.0,215
390,5,2,8.0,175
391,3,1,6.0,216
392,2,1,9.0,217
393,2,2,9.0,176
394,4,1,10.0,218
395,5,2,8.0,177
396,5,1,5.0,219
397,1,1,7.0,220
398,3,2,9.0,178
399,2,2,10.0,179
400,1,2,7.0,180
401,6,1,8.0,221
402,1,2,10.0,181
403,6,1,7.0,222
404,4,2,10.0,182
405,5,1,9.0,223
406,5,2,6.0,183
407,2,2,8.0,184
408,5,2,7.0,185
409,3,2,6.0,186
410,5,1,10.0,224
411,2,1,9.0,225
412,5,1,9.0,226
413,4,1,5.0,227
414,3,1,5.0,228
415,4,1,7.0,229
416,6,2,9.0,187
417,1,2,10.0,188
418,6,2,10.0,189
419,3,2,8.0,190
420,1,2,10.0,191
421,4,2,10.0,192
422,6,1,7.0,230
423,2,1,5.0,231
424,3,1,5.0,232
425,1,2,5.0,193
426,3,1,10.0,233
427,5,1,5.0,234
428,6,2,8.0,194
429,2,1,9.0,235
430,3,2,5.0,195
431,6,2,6.0,196
432,4,1,8.0,236
433,4,2,5.0,197
434,5,2,10.0,198
435,1,2,5.0,199
436,5,1,7.0,237
437,5,1,6.0,238
438,1,1,10.0,239
439,3,1,5.0,240
440,5,2,6.0,200
441,2,1,10.0,241
442,5,1,9.0,242
443,4,1,10.0,243
444,6,1,9.0,244
445,4,2,5.0,201
446,1,2,9.0,202
447,5,2,9.0,203
448,6,1,6.0,245
449,3,2,8.0,204
450,5,1,8.0,246
451,2,1,7.0,247
452,2,1,10.0,248
453,3,1,10.0,249
454,3,2,6.0,205
455,6,2,8.0,206
456,5,2,8.0,207
457,3,2,5.0,208
458,4,1,6.0,250
459,3,1,5.0,251
460,3,1,10.0,252
461,2,1,6.0,253
462,1,2,10.0,209
463,1,2,7.0,210
464,1,2,5.0,211
465,2,2,6.0,212
466,1,2,7.0,213
467,6,2,10.0,214
468,5,1,10.0,254
469,1,2,8.0,215
470,5,2,5.0,216
471,4,2,9.0,217
472,6,1,6.0,255
473,4,1,9.0,256
474,1,1,7.0,257
475,6,2,10.0,218
476,6,2,10.0,219
477,3,1,10.0,258
478,3,1,8.0,259
479,1,2,5.0,220
480,1,1,7.0,260
481,3,2,8.0,221
482,4,2,10.0,222
483,6,2,10.0,223
484,6,2,6.0,224
485,3,2,8.0,225
486,4,2,10.0,226
487,5,2,5.0,227
488,6,1,10.0,261
489,3,2,6.0,228
490,3,2,9.0,229
491,3,1,8.0,262
492,1,2,5.0,230
493,1,2,6.0,231
494,6,1,8.0,263
495,4,1,9.0,264
496,2,1,8.0,265
497,2,2,10.0,232
498,6,2,7.0,233
499,6,1,6.0,266
500,2,2,9.0,234
